year,un_rate,unrate_men,unrate_women,unrate_16_to_17,unrate_18_to_19,unrate_20_to_24,unrate_25_to_34,unrate_35_to_44,unrate_45_to_54,unrate_55_over
1948,3.6,3.6,3.7,6.5,8,5.6,2.9,2.5,3.2,3.7
1949,6,6.1,5.9,14.5,13.2,8.4,5.6,4.6,4.8,5.2
1950,3.9,3.6,4.5,12.8,7.6,4.6,3.5,3,3,4
1951,2.9,2.5,3.7,8.6,5.5,3.4,2.8,2.2,2.5,2.6
1952,2.5,2.4,2.7,9.3,5.3,4.4,2.1,1.7,1.8,2.2
1953,4.2,4.1,4.5,11.5,10.1,8,3.7,3.1,3.4,3.4
1954,4.8,4.9,4.6,13.6,9.5,7.9,4,3.9,3.9,4.3
1955,3.9,3.8,4.3,12.8,7.8,5.9,3.4,2.9,3.3,3.7
1956,4,4,4.1,8.8,8.5,7,3.5,3.1,3.3,3.5
1957,5,5.3,4.4,12.6,10.9,8.3,4.8,3.9,4,3.9
1958,6,6.4,5.4,14.8,12.4,9.8,5.8,4.9,4.4,5.4
1959,5.1,5.2,5.1,13.8,13.8,7.8,4.8,3.7,3.9,4.4
1960,6.4,6.6,6.1,14.7,14.8,10.3,6.3,5.1,5.4,4.6
1961,5.8,5.9,5.5,15.7,12.5,9.2,5.2,4.6,4.4,5
1962,5.3,5.4,5.3,14.2,11.8,8.4,5.2,3.7,4.3,4.6
1963,5.3,5.2,5.4,17,12.8,8.1,5.1,4.1,3.3,4.3
1964,4.7,4.4,5.1,16.6,13.8,6.9,4.3,3.5,3.1,3.1
1965,3.7,3.5,4.2,14.1,10.1,5.2,3.2,2.7,2.4,2.8
1966,3.5,3.2,4,12.2,9.4,5.1,2.7,2.4,2.5,2.6
1967,3.5,3,4.3,14.3,10.2,5.1,3,2.3,2,2.5
1968,3.1,2.6,3.8,14.4,9.7,4.6,2.5,1.7,1.7,2
1969,3.2,2.9,3.7,13.4,9,5,2.6,1.9,1.9,2.2
1970,5.6,5.4,5.8,18.9,14.5,8.6,5.1,4,3.1,3.5
1971,5.5,5.4,5.8,18.2,14.6,8.6,5,3.6,3.3,3.4
1972,4.8,4.4,5.3,16.9,13.3,7.4,4,2.7,2.5,3
1973,4.6,4.1,5.3,15.9,12.3,6.8,4,2.7,2.5,2.6
1974,6.7,6.3,7.3,20.2,15.5,10.4,6.1,4.4,3.9,3.8
1975,7.8,7.5,8.2,19.8,18.7,11.8,7,5.2,4.9,4.9
1976,7.4,7.1,7.7,19.6,17.5,11.2,6.8,4.8,4.8,4.1
1977,6,5.5,6.8,16.4,13.4,9.4,5.6,3.7,3.5,3.9
1978,5.7,5.2,6.3,18.9,13.6,8.7,5.1,3.6,3.3,2.9
1979,5.7,5.3,6.2,17.2,14,9.5,5,3.7,3.1,2.7
1980,6.9,6.9,7,18.7,15.6,11.1,6.8,4.7,4.1,3.4
1981,8.3,8.7,7.8,20.8,20.4,13,8.1,6,5,4.1
1982,10.5,11.3,9.6,26.8,21.9,15.5,10.7,8.5,6.5,5.6
1983,8,8.4,7.5,21.9,17.8,11.7,8.1,5.7,5.7,4.8
1984,7,7.2,6.7,20.2,16.9,10.4,6.7,5,5.1,4.1
1985,6.7,6.8,6.5,20.4,16.9,9.8,6.5,4.8,4.6,3.8
1986,6.3,6.7,5.8,17.8,15.6,9.8,6.5,4.6,4,3.4
1987,5.4,5.6,5.2,16.3,14,7.8,5.6,4,3.4,3.1
1988,5,5.3,4.7,15,12.6,7.9,4.9,3.7,3.5,3
1989,5.1,5.3,4.9,16.6,12.5,8.1,5,3.8,3.3,3.3
1990,6,6.4,5.4,18.2,14.3,8.6,6.2,4.8,4.4,3.2
1991,6.9,7.4,6.3,22.3,16,11.1,7.2,5.2,4.8,4.2
1992,7.1,7.5,6.6,20.4,16.3,10.7,7.2,6,4.8,4.2
1993,6.1,6.4,5.8,16.4,15.4,9,6.4,5.3,4.1,4
1994,5.1,5.3,4.8,15.3,15.4,7.7,5.2,4,3.3,3.2
1995,5.2,5.5,4.9,17.7,15.7,8.3,5.1,4.2,3.3,3.1
1996,5,4.9,5,16.7,14.2,8.1,4.8,4,3.3,3
1997,4.4,4.5,4.2,15.2,10.6,7.7,4,3.7,2.9,2.5
1998,4,4.2,3.8,14.5,10.9,6.5,3.9,3.2,2.6,2.7
1999,3.7,3.9,3.5,14.3,10.7,6.7,3.4,2.7,2.6,2.4
2000,3.7,4,3.4,14,10.4,6.4,3.5,2.8,2.4,2.3
2001,5.4,5.7,5.1,17.4,13.7,8.9,5.8,4.3,3.5,3.8
2002,5.7,6.2,5.1,15.7,14.4,9,6,4.6,4,4.2
2003,5.4,5.8,5,16.2,13.1,8.8,5.8,4.6,3.8,3.8
2004,5.1,5.5,4.7,18.1,14,8.1,5.6,3.9,3.8,3.4
2005,4.6,4.8,4.4,15.1,11.8,7.8,4.9,3.7,3.4,3.1
2006,4.3,4.5,4,14.5,12.1,7.2,4.2,3.7,2.9,2.9
2007,4.8,5.1,4.4,17.4,13.8,8.7,4.8,3.7,3.6,3.1
2008,7.1,8.1,6,21.5,17.5,11.6,7.5,6,5.7,4.9
